difficulty,group,question,content,hint,regex,answer,image,order
easy,political parties,What are the two major political parties in the United States?*,"The Constitution did not establish political parties. President George Washington specifically warned against them. But early in U.S. history, two political groups developed. They were the Democratic-Republicans and the Federalists. Today, the two major political parties are the Democratic Party and the Republican Party. President Andrew Jackson created the Democratic Party from the DemocraticRepublicans. The Republican Party took over from the Whigs as a major party in the 1860s. The first Republican president was Abraham Lincoln. Throughout U.S. history, there have been other parties. These parties have included the Know-Nothing (also called American Party), Bull-Moose (also called Progressive), Reform, and Green parties. They have played various roles in American politics. Political party membership in the United States is voluntary. Parties are made up of people who organize to promote their candidates for election and to promote their views about public policies.
","Their mascots are the donkey and the elephant, and their colors are blue and red.",/(?=.*democrat)(?=.*republican).*/ig,"Democratic, Republican",http://public.media.smithsonianmag.com/legacy_blog/donkey-and-elephant.jpg,41
easy,political parties,What is the political party of the President now?,"The two major political parties in the United States today are the Democratic and Republican parties. The current president, Barack Obama, is a member of the Democratic Party. Other notable Democratic presidents include Woodrow Wilson, Franklin D. Roosevelt, Harry Truman, John F. Kennedy, Lyndon B. Johnson, Jimmy Carter, and William “Bill” Clinton. Notable Republican presidents include Abraham Lincoln, Theodore Roosevelt, Warren Harding, Herbert Hoover, Dwight Eisenhower, Ronald Reagan, and George H. W. Bush. Since the middle of the 19th century, the symbol of the Republican Party has been the elephant. The Republican Party is also known as the “Grand Old Party” or the “GOP.” The symbol of the Democratic Party is the donkey.",What is Obama's political party?,/(democrat)/ig,Democratic,http://advancedgraphics.com/wp-content/uploads/2013/08/921-NB-Democratic-Donkey.jpg,42
medium,legislative,What is the name of the Speaker of the House of Representatives now?,"The current speaker of the House of Representatives is John Boehner. He has represented Ohio’s Eighth District in the House of Representatives since 1991. As speaker, he presides over the House of Representatives and leads the majority political party in the House, the Republican Party. The speaker is second in line to the succession of the presidency after the vice president. ","His last name begins with a ""B."" ",/(?=.*John)(?=.*Boehner).* |(Boehner)/ig,(John) Boehner,http://upload.wikimedia.org/wikipedia/commons/7/7d/John_Boehner_official_portrait.jpg,43
hard,constitution,There are four amendments to the Constitution about who can vote. Describe one of them.,"Voting is one of the most important civic responsibilities of citizens in the United States. In a democratic society, the people choose the leaders who will represent them. There are four amendments to the Constitution about voting. The 15th Amendment permits American men of all races to vote. It was written after the Civil War and the end of slavery. The 19th Amendment gave women the right to vote. It resulted from the women’s suffrage movement (the women’s rights movement). After the 15th Amendment was passed, some leaders of the southern states were upset that African Americans could vote. These leaders designed fees called poll taxes to stop them from voting. The 24th Amendment made these poll taxes illegal. The 26th Amendment lowered the voting age from 21 to 18.",One amendment allowed blacks to vote.,/(?=.*citizen)(?=.*(any|18)).*|(?=.*women)(?=.*can ).*|(?=.*poll)(?=.*tax)(?=.*illegal).*|(?=.*pay)(?=.*(don't|do not)).*/ig,Citizens 18 and up can vote/ you don't have to pay to vote/ any citizen can vote/ a male citizen of any race,http://upload.wikimedia.org/wikipedia/commons/e/ef/Voting_United_States.jpg,44
medium,civic duties and rights,What is one responsibility that is only for United States citizens?*,"Two responsibilities of U.S. citizens are to serve on a jury and vote in federal elections. The Constitution gives citizens the right to a trial by a jury. The jury is made up of U.S. citizens. Participation of citizens on a jury helps ensure a fair trial. Another important responsibility of citizens is voting. The law does not require citizens to vote, but voting is a very important part of any democracy. By voting, citizens are participating in the democratic process. Citizens vote for leaders to represent them and their ideas, and the leaders support the citizens’ interests.",The courtroom needs people to be there to serve. What is this called?,/(?=.*(serve|duty))(?=.*jury).*|(?=.*vote)(?=.*federal)(?=.*election).*/ig,serve on a jury/ vote in a federal election,http://upload.wikimedia.org/wikipedia/commons/1/16/Knox_County_Courthouse_(Nebraska)_courtroom_1.JPG,45
hard,civic duties and rights,Name one right only for United States citizens.,"U.S. citizens have the right to vote in federal elections. Permanent residents can vote in local or state elections that do not require voters to be U.S. citizens. Only U.S. citizens can vote in federal elections. U.S. citizens can also run for federal office. Qualifications to run for the Senate or House of Representatives include being a U.S. citizen for a certain number of years. A candidate for Senate must be a U.S. citizen for at least 9 years. A candidate for the House must be a U.S. citizen for at least 7 years. To run for president of the United States, a candidate must be a native-born (not naturalized) citizen. In addition to the benefits of citizenship, U.S. citizens have certain responsibilities—to respect the law, stay informed on issues, participate in the democratic process, and pay their taxes.",How do we choose who runs the government?,/(?=.*run)(?=.*federal)(?=.*(office|election)).*|(?=.*vote)(?=.*federal)(?=.*election).*/ig,vote in a federal election/ run for federal office,http://upload.wikimedia.org/wikipedia/commons/e/ef/Voting_United_States.jpg,46
medium,civic duties and rights,What are two rights of everyone living in the United States?,"Thomas Jefferson said, “[The] best principles [of our republic] secure to all its citizens a perfect equality of rights.” Millions of immigrants have come to America to have these rights. The Constitution and the Bill of Rights give many of these rights to all people living in the United States. These rights include the freedom of expression, of religion, of speech, and the right to bear arms. All people living in the United States also have many of the same duties as citizens, such as paying taxes and obeying the laws.",Think about how we are able to disagree with the government.,"/^(?:,*\s*(?:(?=.*expression).*|(?=.*speech).*|(?=.*assembly).*|(?=.*petition).*|(?=.*worship).*|(?=.*arms).*)){2}/ig",freedom of expression/ speech/ assembly/ petition the government/ worship/ right to bear arms,http://upload.wikimedia.org/wikipedia/commons/9/9f/%22Freedom_of_Speech%22_-_NARA_-_513536.jpg,47
easy,symbolism,What do we show loyalty to when we say the Pledge of Allegiance?,"The flag is an important symbol of the United States. The Pledge of Allegiance to the flag states, “I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands, one Nation under God, indivisible, with liberty and justice for all.” When we say the Pledge of Allegiance, we usually stand facing the flag with the right hand over the heart. Francis Bellamy wrote the pledge. It was first published in The Youth’s Companion magazine in 1892 for children to say on the anniversary of Columbus’s discovery of America. Congress officially recognized the pledge on June 22, 1942. Two changes have been made since it was written in 1892. “I pledge allegiance to my flag” was changed to “I pledge allegiance to the Flag of the United States of America.” Congress added the phrase “under God” on June 14, 1954.",What do we look at when we say the Pledge of Allegiance?,/(?=.(US|United States)).*|(?=.flag).*/ig,the United States/ the flag,http://upload.wikimedia.org/wikipedia/commons/9/9b/US_Flag_Backlit.jpg,48
hard,civic duties and rights,What is one promise you make when you become a United States citizen?,"give up loyalty to other countries
▪ defend the Constitution and laws of the United States
▪ obey the laws of the United States
▪ serve in the U.S. military (if needed)
▪ serve (do important work for) the nation (if needed)
▪ be loyal to the United States",Think about how everyone is under the law of the Constitution.,/(?=.*(constitution|laws|US|country|United States))(?=.*(defend|obey)).*|(?=.*serve)(?=.*(nation|military|US|United States|country)).*|(?=.*give up)(?=.*loyalty)(?=.*countr).*/ig,give up loyalty to other countries/ defend the Constitution and laws of the United States/ obey the laws of the United States/ serve in the US military/ serve the nation/ be loyal to the United States,http://upload.wikimedia.org/wikipedia/commons/9/98/US_Navy_100720-N-1938G-002_Candidates_for_U.S._citizenship_recite_the_oath_of_citizenship_during_a_naturalization_ceremony_at_Naval_Air_Station_Sigonella.jpg,49
medium,civic duties and rights,How old do citizens have to be to vote for President?*,"For most of U.S. history, Americans had to be at least 21 years old to vote. At the time of the Vietnam War, during the 1960s and 1970s, many people thought that people who were old enough to fight in a war should also be old enough to vote. In 1971, the 26th Amendment changed the minimum voting age from 21 to 18 for all federal, state, and local elections. The National Voter Registration Act of 1993 made it easier for people to register to vote. Now they can register to vote by mail, at public assistance offices, or when they apply for or renew their driver’s license.",The minimum age is under 21.,/(18|eighteen)/ig,18 and up,http://upload.wikimedia.org/wikipedia/commons/5/5c/Barack_Obama_votes_in_the_2012_election.jpg,50
easy,civic duties and rights,What are two ways that Americans can participate in their democracy?,"Citizens play an active part in their communities. When Americans engage in the political process, democracy stays alive and strong. There are many ways for people to be involved. They can volunteer to help new immigrants learn English and civics, join the Parent Teacher Association (PTA) of their child’s school, run for a position on the local school board, or volunteer to help at a polling station. People can also vote, help with a political campaign, join a civic or community organization, or call their senator or representative about an issue that is important to them.",Think about how we elect people to work in government or how we can petition things we disagree with.,"/^(?:,*\s*(?:(?=.*vote).*|(?=.*join)(?=.*political)(?=.*party).*|(?=.*help)(?=.*campaign).*|(?=.*join)(?=.*civic)(?=.*group).*|(?=.*join)(?=.*community)(?=.*group).*|(?=.*give)(?=.*opinion).*|(?=.*call)(?=.*(senator|rep)).*|(?=.*(support|oppose))(?=.*(issue|policy)).*|(?=.*run)(?=.*(office|election)).*|(?=.*write)(?=.*paper).*)){2}/ig",vote/ join a political party/ help with a campaign/ join a civic group/ join a community group/ give an elected official your opinion on an issue/ call Senators and Representatives/ publicly support or oppose an issue or policy/ run for office/ write to a newspaper,https://c1.staticflickr.com/9/8255/8700351792_ca902ef514_b.jpg,51
hard,economics,When is the last day you can send in federal income tax forms?*,"The last day to send in your federal income tax to the Internal Revenue Service is April 15 of each year. The Constitution gave the federal government the power to collect taxes. The federal government needs money to pay the nation’s debts and to defend and provide for the needs of the country. When the country was young, it was difficult to raise money from the 13 original states. The government began collecting income tax for the first time through the Revenue Act of 1861. This was only temporary. In 1894, a flat-rate federal income tax was enacted, but the Supreme Court said this was unconstitutional. Finally, in 1913, the 16th Amendment was ratified. It gave Congress the power to collect income taxes. Today, “taxable income” is money that is earned from wages, self-employment, tips, and the sale of property. The government uses these taxes to keep our country safe and secure. It also tries to cure and prevent diseases through research. In addition, the government uses these taxes to educate children and adults, and build and repair our roads and highways. Taxes are used to do these things and many more.",It's sometime during April.,/(?=.*(april|4))(?=.*(15|fifteenth)).*/ig,4/15/2015,http://pixabay.com/static/uploads/photo/2014/10/16/20/08/income-tax-491626_640.jpg,52
easy,civic duties and rights,When must all men register for the Selective Service?,"President Lincoln tried to draft men to fight during the Civil War, but many people became angry and rioted. In 1917, Congress passed the Selective Service Act. This act gave President Woodrow Wilson the power to temporarily increase the U.S. military during World War I. In 1940, President Franklin Roosevelt signed the Selective Training and Service Act, which created the first draft during peacetime. This was the beginning of the Selective Service System in the United States today. The draft was needed again for the Korean and Vietnam Wars. Today, there is no draft, but all men between 18 and 26 years old must register with the Selective Service System. When a man registers, he tells the government that he is available to serve in the U.S. Armed Forces. He can register at a United States post office or on the Internet. To register for Selective Service on the Internet, visit the Selective Service website at www.sss.gov.",It's the same age you can start voting.,/(18|eighteen)/ig,"18, between 18-26",http://upload.wikimedia.org/wikipedia/commons/c/cb/USN_Amphibious_assault_ships.jpg,53
hard,history,What is one reason colonists came to America?,"In the 1600s and 1700s, colonists from England and other European countries sailed across the Atlantic Ocean to the American colonies. Some left Europe to escape religious restrictions or persecution, to practice their religion freely. Many came for political freedom, and some came for economic opportunity. These freedoms and opportunities often did not exist in the colonists’ home countries. For these settlers, the American colonies were a chance for freedom and a new life. Today, many people come to the United States for these same reasons.",The colonists were persecuted for practicing certain religions before coming to America.,/(freedom|(political liberty)|religious freedom|economic opportunity|(?=.*practice)(?=.*religion).*|escape persecution)/ig,freedom/ political liberty/ religious freedom/ economic opportunity/ practice their religion/ escape persecution,http://upload.wikimedia.org/wikipedia/commons/6/6e/The_First_Thanksgiving_cph.3g04961.jpg,54
easy,history,Who lived in America before the Europeans arrived?,"Great American Indian tribes such as the Navajo, Sioux, Cherokee, and Iroquois lived in America at the time the Pilgrims arrived. The Pilgrims settled in an area where a tribe called the Wampanoag lived. The Wampanoag taught the Pilgrims important skills, such as how to farm with different methods and how to grow crops such as corn, beans, and squash. Relations with some American Indian tribes became tense and confrontational as more Europeans moved to America and migrated west. Eventually, after much violence, the settlers defeated those American Indian tribes and took much of their land.",They are the natives of America.,/(American Indians|Native Americans)/ig,American Indians/ Native Americans,http://upload.wikimedia.org/wikipedia/commons/7/77/Columbia_Plateau_Native_Americans_on_horses_1908_Benjamin_Gifford.jpg,55
easy,history,What group of people was taken to America and sold as slaves?,"Slavery existed in many countries long before America was founded. By 1700, many Africans were being brought to the American colonies as slaves. Men, women, and children were brought against their will. They were often separated from their families when they were sold as slaves. Slaves worked without payment and without basic rights. Most worked in agriculture, but slaves did many other kinds of work in the colonies, too. Slavery created a challenge for a nation founded on individual freedoms and democratic beliefs. It was one of the major causes of the American Civil War.",Think about African Americans and the civil rights movement.,/(Africans|people from Africa)/ig,Africans/ people from Africa,http://upload.wikimedia.org/wikipedia/commons/8/8c/James_Hopkinsons_Plantation_Slaves_Planting_Sweet_Potatoes.jpg,56
hard,history,Why did the colonists fight the British?,"The American colonists’ anger had been growing for years before the Revolutionary War began in 1775. The decision to separate from the British was not an easy choice for many colonists. However, Great Britain’s “repeated injuries” against the Americans, as noted in the Declaration of Independence, convinced many to join the rebellion. The British taxed the colonists without their consent, and the colonists had nobody to represent their needs and ideas to the British government. They were also angry because ordinary colonists were forced to let British soldiers sleep and eat in their homes. The colonists believed the British did not respect their basic rights. The British governed the colonists without their consent, denying them self-government.",The United States was a colony of Great Britain. What are some things Britain did to the colonists that made them angry?,/(?=.*self)(?=.*government).*|(boarding|quartering|(?=.*british|soldiers|army)(?=.*houses)|(taxation without representation)|(high taxes)|(taxes)).*/ig,"because of high taxes, taxation without representation, because the British army stayed in their houses, they didn't have self-government",http://upload.wikimedia.org/wikipedia/commons/7/7d/The_Death_of_General_Mercer_at_the_Battle_of_Princeton_January_3_1777.jpeg,57
medium,rights,Who wrote the Declaration of Independence?,"Thomas Jefferson wrote the Declaration of Independence in 1776. He was a very important political leader and thinker. Some of the most important ideas about the American government are found in the Declaration of Independence, such as the idea that all people are created equal. Another important idea is that people are born with certain rights including life, liberty, and the pursuit of happiness. Jefferson was the third president of the United States, serving from 1801 to 1809. Before becoming president, Jefferson was governor of Virginia and the first U.S. secretary of state. He strongly supported individual rights, especially freedom of religion. Jefferson wanted to protect these rights. For this reason, he did not want a strong national government.","His last name begins with a ""J."" ",/(?=.*thomas)(?=.*jefferson).*|(jefferson)/ig,Thomas Jefferson,"http://upload.wikimedia.org/wikipedia/commons/1/1e/Thomas_Jefferson_by_Rembrandt_Peale,_1800.jpg",58
hard,rights,When was the Declaration of Independence adopted?,"In 1774, representatives from 12 of the 13 colonies met in Philadelphia, Pennsylvania, for the First Continental Congress. Of the 13 colonies, only Georgia was absent. These representatives were angry about British laws that treated them unfairly. They began to organize an army. The Second Continental Congress met in 1775 after fighting began between the colonists and the British Army. This Congress asked Thomas Jefferson and others to write the Declaration of Independence. When Thomas Jefferson finished his draft of the Declaration of Independence, he took it to John Adams, Benjamin Franklin, and the others on the committee to review it. After changes were made by the committee, the Declaration was read to the members of the entire Congress. The purpose of the Declaration was to announce the separation of the colonies from England. The Declaration of Independence stated that if a government does not protect the rights of the people, the people can create a new government. For this reason, the colonists separated from their British rulers. On July 4, 1776, the Second Continental Congress adopted the Declaration of Independence.",When do we celebrate our independence? It's sometime during July.,/(?=.*(July|7))(?=.*(4|four))(?=.*(1776|(?=.*seventeen)(?=.*seventy)(?=.*six))).*/ig,7/4/1776,http://upload.wikimedia.org/wikipedia/commons/1/15/Declaration_independence.jpg,59
medium,history,There were 13 original states. Name three.,"The 13 original states were all former British colonies. Representatives from these colonies came together and declared independence from Great Britain in 1776. After the Revolutionary War, the colonies became free and independent states. When the 13 colonies became states, each state set up its own government. They wrote state constitutions. Eventually, the people in these states created a new form of national government that would unite all the states into a single nation under the U.S. Constitution. The first three colonies to become states were Delaware, Pennsylvania, and New Jersey. This happened in 1787. Eight colonies became states in 1788. These were Georgia, Connecticut, Massachusetts, Maryland, South Carolina, New Hampshire, Virginia, and New York. North Carolina became a state in 1789. Rhode Island became a state in 1790. Although the colonies were recognized as states after the Declaration of Independence, the date of statehood is based on when they ratified (accepted) the U.S. Constitution. Today, the United States has 50 states.",All of these original colonies were on the east coast.,"/^(?:,*\s*(?:New Hampshire|Massachusetts|Rhode Island|Connecticut|New York|New Jersey|Pennsylvania|Delaware|Maryland|Virginia|North Carolina|South Carolina|Georgia)){3}/ig","New Hampshire, Massachusetts/ Rhode Island/ Connecticut/ New York/ New Jersey/ Pennsylvania/ Delaware/ Maryland/ Virginia/ North Carolina/ South Carolina/ Georgia",http://upload.wikimedia.org/wikipedia/commons/0/0f/13_states_-_Guffefeld.jpeg,60
hard,constitution,What happened at the Constitutional Convention?,"The Constitutional Convention was held in Philadelphia, Pennsylvania, from May to September 1787. Fifty-five delegates from 12 of the original 13 states (except for Rhode Island) met to write amendments to the Articles of Confederation. The delegates met because many American leaders did not like the Articles. The national government under the Articles of Confederation was not strong enough. Instead of changing the Articles of  Confederation, the delegates decided to create a new governing document with a stronger national government—the Constitution. Each state sent delegates, who worked for four months in secret to allow for free and open discussion as they wrote the new document. The delegates who attended the Constitutional Convention are called “the Framers.” On September 17, 1787, 39 of the delegates signed the new Constitution.","After the United States became independent, they had to create a set of laws. What is our document of laws?",/(?=.*constitution)(?=.*written).*|(?=.*found)(?=.*wrote)(?=.*constitution).*/ig,Constitution was written/ Founding fathers wrote the Constitution,"http://upload.wikimedia.org/wikipedia/commons/d/dd/Independence_Hall_in_Philadelphia_by_Ferdinand_Richardt,_1858-63.jpg",61
hard,constitution,When was the Constitution written?,"The Constitution, written in 1787, created a new system of U.S. government—the same system we have today. James Madison was the main writer of the Constitution. He became the fourth president of the United States. The U.S. Constitution is short, but it defines the principles of government and the rights of citizens in the United States. The document has a preamble and seven articles. Since its adoption, the Constitution has been amended (changed) 27 times. Three-fourths of the states (9 of the original 13) were required to ratify (approve) the Constitution. Delaware was the first state to ratify the Constitution on December 7, 1787. In 1788, New Hampshire was the ninth state to ratify the Constitution. On March 4, 1789, the Constitution took effect and Congress met for the first time. George Washington was inaugurated as president the same year. By 1790, all 13 states had ratified the Constitution.",It was after the writing of the Declaration of Independence (The Declaration was written in 1776).,/(1787)/ig,1787,http://upload.wikimedia.org/wikipedia/commons/9/9d/Scene_at_the_Signing_of_the_Constitution_of_the_United_States.jpg,62
hard,constitution,The Federalist Papers supported the passage of the US Constitution. Name one of the writers?,"The Federalist Papers were 85 essays that were printed in New York newspapers while New York State was deciding whether or not to support the U.S. Constitution. The essays were written in 1787 and 1788 by Alexander Hamilton, John Jay, and James Madison under the pen name “Publius.” The essays explained why the state should ratify the Constitution. Other newspapers outside New York also published the essays as other states were deciding to ratify the Constitution. In 1788, the papers were published together in a book called The Federalist. Today, people still read the Federalist Papers to help them understand the Constitution.","One of the members had a last name starting with ""M.""",/(Madison|James Madison|Alexander Hamilton|Hamilton|John Jay|Jay|Publius)/ig,James Madison/ Alexander Hamilton/ John Jay/ Publius,http://upload.wikimedia.org/wikipedia/commons/2/23/Federalist.jpg,63
hard,constitution,What is one thing Benjamin Franklin is famous for?,"Benjamin Franklin was one of the most influential Founding Fathers of the United States. He was the oldest delegate to the Constitutional Convention and one of the signers of the U.S. Constitution. He was a printer, author, politician, diplomat, and inventor. By his mid-20s, he was an accomplished printer, and he began writing books and papers. Franklin’s most famous publication was Poor Richard’s Almanac. He also organized America’s first library. Its members loaned books to one another. He was very active in colonial politics. He also visited England and France many times as a U.S. diplomat. In 1775, the Second Continental Congress appointed Franklin the first postmaster general.",He was a member of the Constitutional Convention.,/(US diplomat|(Poor Richard's Almanac)|(?=.*oldest)(?=.*Constitutional Convention).*|(?=.*first)(?=.*postmaster general).*)|(?=.*free)(?=.*librar).*/ig,"US diplomat/ oldest member of the Constitutional Convention/ first Postmaster General of the United States/ writer of ""Poor Richard's Almanac""/ started the first free libraries",http://upload.wikimedia.org/wikipedia/commons/2/27/Benjamin_Franklin_by_Joseph_Siffrein_Duplessis.jpg,64
medium,history,"Who is the ""Father of Our Country""?","George Washington is called the Father of Our Country. He was the first American president. Before that, he was a brave general who led the Continental Army to victory over Great Britain during the American Revolutionary War. After his victory over the British Army, Washington retired to his farm in Virginia named Mount Vernon. He left retirement to help create the new country’s system of government. He presided over the Constitutional Convention in Philadelphia in 1787. ",He's on the 1 dollar bill.,/(george washington|washington)/ig,George Washington,http://upload.wikimedia.org/wikipedia/commons/f/f1/Rembrandt_Peale_-_George_Washington_-_Google_Art_Project_(721252).jpg,65
easy,history,Who was the first President?*,"George Washington was the first president of the United States. He began his first term in 1789. He served for a second term beginning in 1793. Washington played an important role in forming the new nation and encouraged Americans to unite. He also helped define the American presidency. He voluntarily resigned from the presidency after two terms. He set an example for future leaders in his own country and the world by voluntarily giving up power. The tradition of a president serving no more than two terms continued in the United States until Franklin D. Roosevelt, who was elected to office four times (1933–1945). The 22nd Amendment to the Constitution, passed in 1947, now limits presidents to two terms.","He was the ""Father of Our Country"" and on the 1 dollar bill.",/(george washington|washington)/ig,George Washington,http://upload.wikimedia.org/wikipedia/commons/f/f1/Rembrandt_Peale_-_George_Washington_-_Google_Art_Project_(721252).jpg,66
medium,history,What territory did the United States buy from France in 1803?,"The Louisiana Territory was a large area west of the Mississippi River. It was 828,000 square miles. In 1803, the United States bought the Louisiana Territory from France for $15 million. The Louisiana Purchase Treaty was signed in Paris on April 30, 1803. It was the largest acquisition of land in American history. Farmers could now ship their farm products down the Mississippi River without permission from other countries. This was important because the city of New Orleans was a major shipping port. The Louisiana Purchase doubled the size of the United States and expanded it westward. Meriwether Lewis and William Clark led an expedition to map the Louisiana Territory.",It was the territory next to the 13 original colonies.,/(Louisiana|louisiana territory)/ig,Louisiana Territory,http://upload.wikimedia.org/wikipedia/commons/b/b6/Frank_bond_1912_louisiana_and_the_louisiana_purchase.jpg,67
hard,history,Name one war fought by the United States in the 1800s,"The United States fought four major wars in the 1800s—the War of 1812, the Mexican-American War, the Civil War, and the Spanish-American War. The War of 1812 lasted from 1812 through 1815. President James Madison asked Congress to declare war on Great Britain. The British were stopping and seizing American ships. They were also arming American Indians to fight against the Americans. As a result of this war, the nation’s trade was disrupted and the U.S. Capitol was burned. The Americans won the war. This was the first time after the Revolutionary War that America had to fight a foreign country to protect its independence. The Mexican-American War was a conflict between Mexico and America. The war began in Texas in 1846. President James Polk ordered General Zachary Taylor and his forces to occupy land claimed by both the United States and Mexico. President Polk believed westward expansion was important for the United States to grow. When Mexico attacked, the United States went to war with Mexico. When the war ended in February 1848, the United States and Mexico signed the Treaty of Guadalupe Hidalgo. This treaty gave Texas to the United States and extended the boundaries of the United States west to the Pacific Ocean. In the Civil War, the people of the United States fought against each other. Americans in the northern states fought to support the federal government (“the Union”) against Americans from the southern states. The southern states were trying to separate themselves to form a new nation, the Confederate States of America (“the Confederacy”). The war lasted from 1861 to 1865, when the Confederate army surrendered to the Union army. Many lives were lost in the American Civil War. In 1898, the United States fought Spain in the Spanish American War. The United States wanted to help Cuba become independent from Spain because the United States had economic interests in Cuba. The war began when a U.S. battleship was sunk near Cuba. Many Americans believed it was the Spanish who attacked the ship. For this reason, America went to war with Spain. By the end of 1898, the war was over with a victory for the United States. Cuba had its independence, and Guam, Puerto Rico, and the Philippines became territories of the United States.",There was a war between the Northern and Southern states of the United States.,/(?=.*War)(?=.*(1812|Civil|(?=.*Mexican|Spanish)(?=.*American))).*/ig,War of 1812/ Mexican-American War/ Civil War/ Spanish-American War,http://upload.wikimedia.org/wikipedia/commons/e/e6/Battle_of_Veracruz.jpg,68
medium,civil war,Name the US war between the North and the South,"The American Civil War is also known as the War between the States. It was a war between the people in the northern states and those in the southern states. The Civil War was fought in many places across the United States, but most battles were fought in the southern states. The first battle was at Fort Sumter, South Carolina. The first major battle between the northern (Union) army and the southern (Confederate) army took place at Bull Run, in Manassas, Virginia, in July 1861. The Union expected the war to end quickly. After its defeat at the Battle of Bull Run, the Union realized that the war would be long and difficult. In 1865, the Civil War ended with the capture of the Confederate capital in Richmond, Virginia. Confederate General Robert E. Lee surrendered to Lt. General Ulysses S. Grant of the Union army at Appomattox Courthouse in central Virginia. Over the four-year period, more than 3 million Americans fought in the Civil War and more than 600,000 people died.","The name starts with a ""C.""",/(civil|civil war)/ig,Civil War,"http://upload.wikimedia.org/wikipedia/commons/9/95/Union_soldiers_entrenched_along_the_west_bank_of_the_Rappahannock_River_at_Fredericksburg,_Virginia_(111-B-157).jpg",69
hard,civil war,Name one problem that led to the Civil War,"The Civil War began when 11 southern states voted to secede (separate) from the United States to form their own country, the Confederate States of America. These southern states believed that the federal government of the United States threatened their right to make their own decisions. They wanted states’ rights with each state making their own decisions about their government. If the national government contradicted the state, they did not want to follow the national government. The North and South had very different economic systems. The South’s agriculture-based economy depended heavily on slave labor. The southern states feared that the United States government would end slavery. The southern states believed that this would hurt their economic and political independence. The economy of the northern states was more industrial and did not depend on slavery. The northern states fought to keep all the United States together in “the Union.” They tried to stop the southern states from separating into a new Confederate nation. There were also many people in the North who wanted to end slavery. These differences led to the American Civil War, which lasted from 1861 until 1865.",The South was afraid the government would end slavery.,/(slave|econom|(?=.*states')(?=.*rights)).*/ig,slavery/ economic reasons/ states' rights,http://upload.wikimedia.org/wikipedia/commons/8/8c/James_Hopkinsons_Plantation_Slaves_Planting_Sweet_Potatoes.jpg,70
hard,civil war,What is one important thing that Abraham Lincoln did?*,"Abraham Lincoln was president of the United States from 1861 to 1865, and led the nation during the Civil War. Lincoln thought the separation of the southern (Confederate) states was unconstitutional, and he wanted to preserve the Union. In 1863, during the Civil War, he issued the Emancipation Proclamation. It declared that the slaves who lived in the rebelling Confederate states were forever free. Lincoln is also famous for his “Gettysburg Address.” He gave that speech at Gettysburg, Pennsylvania, in November 1863. Earlier that year, at the Battle of Gettysburg, the northern (Union) army had won a major battle to stop the Confederate army from invading the North. To honor the many who died in this battle, the governor of Pennsylvania established the Soldiers’ National Cemetery at Gettysburg. Lincoln  spoke at the dedication ceremony and praised those who fought and died in battle. He asked those still living to rededicate themselves to saving the Union so that “government of the people, by the people, for the people shall not perish from the earth.” On April 14, 1865, soon after taking office for his second term, Abraham Lincoln was killed by a southern supporter, John Wilkes Booth, at Ford’s Theatre in Washington,
D.C.",He was the president during the Civil War.,/((?=.*free)(?=.*slave)|(?=.*save)(?=.*Union)|(?=.*led)(?=.*(US|United States|country|Union)(?=.*Civil)(?=.*war))).*/ig,freed the slaves/ saved the Union/ led the United States during Civil War,http://upload.wikimedia.org/wikipedia/commons/1/1b/Abraham_Lincoln_November_1863.jpg,71
medium,civil war,What did the Emancipation Proclamation do?,"In 1863, in the middle of the Civil War, President Abraham Lincoln issued the Emancipation Proclamation. The Emancipation Proclamation declared that slaves living in the southern or Confederate states were free. Many slaves joined the Union army. In 1865, the Civil War ended and the southern slaves kept their right to be free. The Emancipation Proclamation led to the 13th Amendment to the Constitution, which ended slavery in all of the United States.",Abraham Lincoln issued this document during the Civil War.,/(?=.*free)(?=.*slave).*/ig,freed slaves/freed slaves in the Confederacy/freed slaves in the South,http://upload.wikimedia.org/wikipedia/commons/3/32/EmancipationProclamation.jpg,72
hard,rights,What did Susan B. Anthony do?,"Susan B. Anthony was born in Massachusetts on February 15, 1820. She is known for campaigning for the right of women to vote. She spoke out publicly against slavery and for equal treatment of women in the workplace. In 1920, the 19th Amendment to the Constitution gave women the right to vote. Susan B. Anthony died 14 years before the adoption of the 19th Amendment, but it was still widely known as the Susan B. Anthony Amendment. In 1979, she became the first woman whose image appeared on a circulating U.S. coin. The coin is called the Susan B. Anthony dollar and is worth one dollar.",She helped bring the 19th amendment (giving women the right to vote) and get it adopted.,/(?=.*rights)(?=.*(civil|women)).*/ig,fought for women's rights/fought for civil rights,http://upload.wikimedia.org/wikipedia/commons/c/c4/Susan_B_Anthony_c1855.png,73
